datetime,price,EE_total,date,openning_time,closing_time,E_max,E_min,E_shifted,ET_BC1_Frio,ET_BC1_Calor,ET_BC2_Frio,ET_BC2_Calor,ET_BC3_Frio,ET_BC3_Calor,ET_total
2025-01-21 00:00:00,140.38,0.0249999999996362,2025-01-21,7.0,21.0,0.0249999999996362,0.0249999999996362,0.0249999999996362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-21 01:00:00,136.49,0.0250000000000909,2025-01-21,7.0,21.0,0.0250000000000909,0.0250000000000909,0.0250000000000909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-21 02:00:00,128.8,0.0260000000002946,2025-01-21,7.0,21.0,0.0260000000002946,0.0260000000002946,0.0260000000002946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-21 03:00:00,121.83,0.0239999999998872,2025-01-21,7.0,21.0,0.0239999999998872,0.0239999999998872,0.0239999999998872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-21 04:00:00,120.28,0.0259999999998399,2025-01-21,7.0,21.0,0.0259999999998399,0.0259999999998399,0.0259999999998399,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-21 05:00:00,129.63,0.0250000000000909,2025-01-21,7.0,21.0,10.55060000000003,0.0,6.256734650276958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-21 06:00:00,144.19,0.0250000000000909,2025-01-21,7.0,21.0,10.55060000000003,0.0,6.4113260470726345,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-21 07:00:00,154.43,17.76200000000017,2025-01-21,7.0,21.0,28.28760000000011,7.236400000000231,7.314829534940082,0.0,55.0,0.0,31.0,0.0,0.0,86.0
2025-01-21 08:00:00,166.45,8.732999999999265,2025-01-21,7.0,21.0,19.258599999999205,0.0,7.506893478479529,0.0,9.0,0.0,26.0,0.0,0.0,35.0
2025-01-21 09:00:00,165.51,13.866000000001804,2025-01-21,7.0,21.0,24.391600000001745,3.340400000001864,13.866000000001804,0.0,37.0,0.0,24.0,0.0,0.0,61.0
2025-01-21 10:00:00,156.21,16.937999999998283,2025-01-21,7.0,21.0,27.463599999998223,6.412399999998343,16.01943665429893,0.0,34.0,0.0,36.0,0.0,0.0,70.0
2025-01-21 11:00:00,150.57,14.935999999999694,2025-01-21,7.0,21.0,25.461599999999635,4.410399999999754,15.854563345699049,0.0,29.0,0.0,36.0,0.0,0.0,65.0
2025-01-21 12:00:00,157.9,19.63700000000063,2025-01-21,7.0,21.0,30.16260000000057,9.111400000000687,14.65698827513274,0.0,42.0,0.0,41.0,0.0,0.0,83.0
2025-01-21 13:00:00,157.44,11.209999999998672,2025-01-21,7.0,21.0,21.73559999999861,0.6843999999987318,14.480439754491565,0.0,30.0,0.0,19.0,0.0,0.0,49.0
2025-01-21 14:00:00,142.86,16.87900000000218,2025-01-21,7.0,21.0,27.40460000000212,6.353400000002239,14.311925468111957,0.0,29.0,0.0,43.0,0.0,0.0,72.0
2025-01-21 15:00:00,140.44,9.858999999998105,2025-01-21,7.0,21.0,20.384599999998045,0.0,14.135646502263333,0.0,20.0,0.0,24.0,0.0,0.0,44.0
